"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Brazil","BRA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6710.9645256558","6919.98106679624","6925.37987090078","7297.6837765347","7723.89962167875","8102.66855026195","8300.24470901134","8594.56134291155","8588.35809573927","8624.43725570363","9073.97690460952","9274.24759046068","9581.99283648923","9747.94103843123","10460.5506264868","11004.9561815779","11659.3927756977","12568.1979009379","13332.1438610193","13288.4354795748","14320.3686885704","15061.9531879979","15506.5542639022","16111.4426821237","16358.3907656928","15813.8554371321","15331.5485228462","15662.2404720854","16096.4009621464","",
"Barbados","BRB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9601.75430802424","9504.04561347609","9133.07583947698","9388.32761818621","9743.98569090482","10108.1340184678","10658.6802530785","11308.2333221559","11811.2754370377","11972.3415779799","12734.2167762247","12659.7748307365","12917.4343137323","13399.2576695504","13905.8207566574","14850.1027872955","16099.4946964341","16765.324423418","17170.5908539541","16392.9574158381","16164.9811646958","16321.9834236748","16582.1300926302","16607.1823576019","16861.3465134409","17386.9395860396","17947.9633416955","18229.5876811293","18554.1292823844","",
"Brunei Darussalam","BRN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54959.6668564164","56957.045640557","59315.4955565243","59221.6276480824","60713.3776962426","63092.9578707291","64468.3764897228","63095.7764151218","62020.9094056489","63432.2555609113","65305.7655736296","67184.354498275","69510.208531973","71514.3937218396","72549.2249587857","73930.4777031625","78411.6145987688","79631.1923638581","78670.5579459646","76961.8121967828","78907.8712156128","82502.9352973488","83725.4210254706","82263.498305978","80782.0314973982","80177.7561183152","78134.6665206263","79789.487859267","80920.0486841005","",
"Bhutan","BTN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1527.3180053612","1561.26853243772","1670.68016387675","1750.52329779989","1878.89765192336","2043.53569934178","2168.99147285491","2281.79206101914","2389.08220217953","2555.9173500642","2640.67953516624","2865.2967491687","3161.8458397382","3406.51242719288","3641.68522209849","3968.81763663663","4317.78450248121","5181.00986019374","5472.36362501138","5822.68595096064","6517.06634371702","7097.18994034443","7513.68688785312","7712.88197926308","8108.30097925897","8705.5982037423","9392.25787346028","9860.60504193471","10167.934056686","",
"Botswana","BWA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5516.98274925085","5946.12968552298","6088.13827543661","6190.38222478915","6392.27241571935","6818.1808036073","7174.16372845303","7722.30007459764","7667.65979115056","8347.87433086346","8528.96912526956","8574.34376615296","9076.228393192","9506.49246622704","9849.79699514849","10421.3719283972","11401.3475984607","12409.2978745779","13158.8487123216","12007.2323898214","12964.3514434006","13838.6028216807","14558.0664085668","16310.1028851638","17092.1222420118","16724.5177802108","17314.7744445225","17784.8490351371","18615.7933362283","",
"Central African Republic","CAF","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","637.673007005283","639.247859966504","595.124008500532","593.826026438304","618.190362395067","658.195845795044","626.792728732357","654.729006654893","676.651414502319","694.638433438523","676.811041716256","706.69817990405","728.166256455562","687.364904816057","733.317734648513","748.194265801191","791.985623772376","834.531689380773","852.929806208589","919.40855892341","962.291972162761","1016.21855192248","1083.68992544961","699.592880706766","710.812164523031","744.734542572878","780.905532608877","821.216202890807","859.935619639664","",
"Canada","CAN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20173.9356465246","20160.7288519578","20557.4633562187","21367.203268229","22555.697443187","23401.8746824753","23962.4994488813","25167.5197132665","26220.2662066619","27745.8065524148","29265.0844377454","30107.6569414056","30853.201316329","32225.0521212425","33796.9991962311","36211.0845984165","37999.0385951977","39439.8068856578","40275.9898957504","38797.3850494638","40012.3913979895","41569.449617197","42189.1961096712","44188.7317079989","45645.5642968788","44567.8663498079","45011.6431674509","46723.3177643637","48130.2559725043","",
"Central Europe and the Baltics","CEB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7094.65452721227","6650.88716575145","6683.34347302525","6954.80111374446","7392.05267347237","7964.90169140564","8368.851191679","8684.44196715163","9077.01137488085","9375.85578604776","9998.13346695255","10782.2574380725","11606.6743469273","12301.6628627237","13445.6513850085","14282.3970282304","15878.1351114864","17719.1848942641","19650.1993033887","19672.2106655228","20739.746090563","22154.2490947982","22970.4487352574","23970.2077654041","24983.494741777","26080.2356203421","27360.0680507256","29651.1895116823","31214.2090199216","",
"Switzerland","CHE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27594.6320514102","27915.4715600099","28226.2267443858","28596.9528449681","29343.6315787123","29902.5186981053","30542.0574326343","31812.498763447","32918.5565715147","33814.1145410683","35754.5476118063","36778.0106438729","37718.2848266456","37713.3374965856","39170.0322492223","40572.2644828349","45106.416682867","49746.3893908108","52584.7268100102","51769.0302897989","53067.7246365619","56183.8216241817","57849.572038326","60108.520020158","61902.1295360364","63938.9893868853","64323.9252421086","66395.856341546","68060.9410452501","",
"Channel Islands","CHI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4511.17005852604","4952.53850715378","5622.77735855376","6119.38016839995","6568.78082455401","7351.82880778263","8011.5711832202","8637.33074065478","8995.76512018912","8977.1174018074","9553.56662261844","9972.65102673782","10333.0636258187","10841.3238883432","11812.6350110434","12746.5833879323","15753.962990375","16941.8359830089","16501.8069214628","16159.6052340491","18161.8039224929","20342.5709204911","21507.7074027908","22439.2783559667","22786.6556024043","22688.010028123","22874.1494182583","24248.8607595516","25222.5277771449","",
"China","CHN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","987.641178757566","1100.81427632299","1270.29699201133","1463.80174809992","1671.20091666145","1872.60665052455","2074.36167017057","2281.44384122523","2464.18635225023","2668.23022925062","2936.2877448148","3227.41943802326","3553.92379293948","3958.47197677039","4449.56191947187","5081.04904061954","5867.79687712994","6847.06962339115","7615.0295331201","8352.68993341009","9303.73369967246","10355.4957126354","11328.2817147499","12361.3979713938","13446.402394169","14454.9979690663","15513.2730433452","16782.2077582941","18236.6129816498","",
"Cote d'Ivoire","CIV","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2132.10247811645","2127.063955585","2093.99217875307","2065.44891075461","2054.85797402277","2173.94832650334","2309.18401549561","2361.96049432621","2432.56275411797","2438.28667084174","2378.6105065408","2376.20723718085","2321.40190632648","2283.58800601389","2324.95811567934","2387.62182524642","2443.8515994764","2498.33589435967","2553.8380410139","2596.89747660708","2618.31891978017","2495.49512456671","2747.90052339133","2970.20233830059","3211.09974493211","3444.44979975855","3665.55048578514","3921.7133363444","4207.08693435064","",
"Cameroon","CMR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1949.28061399859","1881.30437573334","1810.59072303536","1658.10440111635","1681.52196131493","1728.15225666196","1787.79443252759","1863.91245006537","1919.00893356528","1978.03328279295","2039.93428412908","2119.05892744127","2184.98245230143","2265.80585347753","2418.58814027564","2476.29931163929","2568.44247788244","2691.89728959388","2762.94201803182","2767.97483613519","2817.57272220138","2914.2376674035","3021.40920045727","3153.68235756659","3311.73400510519","3442.73447977112","3546.54456015868","3644.80109611048","3785.07997826904","",
"Congo, Dem. Rep.","COD","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900.016360672864","821.33962617607","723.140189974846","616.10994462826","583.134535705009","580.448010759514","568.869238696374","532.840563009048","517.997814976208","491.320381234426","455.815087819412","443.574712092771","450.450417093416","469.770409824046","498.979870320802","528.974783764476","555.799957977683","586.995265353701","615.071974515878","616.658619395198","646.295395285628","682.007331980312","719.91425898658","768.644915678626","829.362645553059","867.08835736811","868.613356219055","888.677279967463","932.172006786861","",
"Congo, Rep.","COG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3454.2452231222","3557.62093690145","3632.29856925296","3581.36064043882","3361.7351943436","3469.8941198815","3581.49165166276","3517.615709781","3584.68376264859","3441.35476509414","3677.14774635168","3790.96904008224","3914.89949027438","3906.12517693831","4028.31219598344","4337.19422774068","4591.99556092481","4483.92664714536","4663.01186224752","4886.38366883909","5214.50278197082","5353.80429630661","5518.96742183099","5667.59579899924","6017.67194682369","6089.83965522291","5833.99564357271","5614.39897394646","5662.06341112502","",
"Colombia","COL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5015.54644789606","5186.20775642866","5412.45974953886","5727.8145706219","6074.70286762908","6406.06185338835","6539.86636668586","6762.75577227961","6763.01023352586","6465.19366495402","6694.8128497945","6848.27854137436","7022.7396005875","7324.4008525759","7811.23008565862","8320.56929900869","9036.31424895926","9792.90295192225","10188.017061689","10274.4898568509","10732.7490513357","11650.1994926942","12226.2858371891","12891.3793105119","13618.1243607146","14006.153584302","14259.6093024949","14507.2612508036","15012.9302675399","",
"Comoros","COM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1674.55263755485","1590.33339330307","1714.47128398655","1756.24001460287","1651.2982128898","1698.59133085357","1661.1123212447","1711.18807586343","1706.96365864757","1720.00182514433","1900.65602609831","1939.27654926211","1967.64432031322","1998.16846311507","2042.26982624609","2114.65706848865","2183.49041378046","2206.55932912413","2283.89691313119","2318.43019553487","2376.53888567251","2465.32491834502","2531.03797668248","2627.34390037724","2668.89523057549","2664.2708772218","2719.2961739134","2812.03474675244","2913.38730578137","",
